name,position,club,minutes,appearances,starts,goals,assists,clean_sheets,rating,form,xg,xa,yellow_cards,red_cards,bonus,bps,ict_index,chance_playing,fixture_difficulty,home,selected_by_percent,team_form_points,team_attack_form,team_defence_form,opponent_strength,rest_days,price,future_points,GW,kickoff_time
Christopher Nkunku,MID,Chelsea,64.0,2.0,1.0,0.0,0.0,0.0,6.133333333333334,1.0,0.15,0.08,0.0,0.0,0.0,12.0,2.4,1.0,3.0,1.0,85.05312528209271,1.5,1.35,1.35,0.5,7.0,6.3,1,3,2024-09-01T12:30:00Z
Cieran Slicker,GK,Ipswich,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,71.54140605139122,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T14:00:00Z
Cody Gakpo,FWD,Liverpool,29.0,2.0,0.0,0.0,0.0,0.0,6.022222222222222,0.5,0.03,0.01,1.0,0.0,0.0,2.0,0.75,1.0,3.0,0.0,77.9787254518864,1.5,1.35,1.35,0.5,7.0,7.3,1,3,2024-09-01T15:00:00Z
Cole Palmer,MID,Chelsea,172.0,2.0,2.0,1.0,3.0,0.0,6.459302325581396,9.5,0.74,0.33999999999999997,1.0,0.0,2.0,79.0,10.8,1.0,3.0,1.0,95.67820529729538,1.5,1.35,1.35,0.5,7.0,10.6,6,3,2024-09-01T12:30:00Z
Conor Bradley,DEF,Liverpool,31.0,2.0,0.0,0.0,0.0,0.0,6.0777777777777775,1.0,0.24,0.03,0.0,0.0,0.0,7.0,2.75,1.0,3.0,0.0,67.75857835652795,1.5,1.35,1.35,0.5,7.0,4.9,1,3,2024-09-01T15:00:00Z
Conor Gallagher,MID,Chelsea,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,64.3771857678785,1.5,1.35,1.35,0.5,7.0,5.9,0,3,2024-09-01T12:30:00Z
Conor Townsend,DEF,Ipswich,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,66.67245431903486,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T14:00:00Z
Craig Dawson,DEF,Wolves,29.0,2.0,0.0,0.0,0.0,0.0,6.022222222222222,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,1.0,3.0,0.0,61.39144421683124,1.5,1.35,1.35,0.5,7.0,4.5,2,3,2024-08-31T14:00:00Z
Cristian Romero,DEF,Spurs,180.0,2.0,2.0,1.0,0.0,1.0,6.366666666666666,8.0,0.62,0.32999999999999996,0.0,0.0,2.0,66.0,7.75,1.0,3.0,0.0,86.12846474283124,1.5,1.35,1.35,0.5,7.0,5.1,1,3,2024-09-01T12:30:00Z
Crysencio Summerville,MID,West Ham,17.0,2.0,0.0,0.0,0.0,0.0,6.1,0.5,0.0,0.17,0.0,0.0,0.0,9.0,2.2,0.6499999999999999,3.0,1.0,69.20726718665422,1.5,1.35,1.35,0.5,7.0,5.9,1,3,2024-08-31T16:30:00Z
Curtis Jones,MID,Liverpool,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,56.30662239341149,1.5,1.35,1.35,0.5,7.0,5.4,0,3,2024-09-01T15:00:00Z
Daichi Kamada,MID,Crystal Palace,96.0,2.0,1.0,0.0,0.0,0.0,6.09375,1.0,0.0,0.09,1.0,0.0,0.0,9.0,3.55,1.0,3.0,0.0,65.38791712744646,1.5,1.35,1.35,0.5,7.0,5.4,2,3,2024-09-01T12:30:00Z
Dan Burn,DEF,Newcastle,180.0,2.0,2.0,0.0,0.0,1.0,6.116666666666666,3.0,0.28,0.01,2.0,0.0,0.0,21.0,3.5,1.0,3.0,1.0,89.46419799358826,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-09-01T12:30:00Z
Dane Scarlett,FWD,Spurs,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,59.663666613938126,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-09-01T12:30:00Z
Daniel Bentley,GK,Wolves,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,77.07031715104196,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T14:00:00Z
Daniel Castelo Podence,MID,Wolves,46.0,2.0,0.0,0.0,0.0,0.0,6.1,1.0,0.04,0.01,0.0,0.0,0.0,9.0,0.2,1.0,3.0,0.0,53.975972446675556,1.5,1.35,1.35,0.5,7.0,5.5,0,3,2024-08-31T14:00:00Z
Daniel Iversen,GK,Leicester,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,70.3974663563365,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T14:00:00Z
Daniel Jebbison,FWD,Bournemouth,26.0,2.0,0.0,0.0,0.0,0.0,6.0777777777777775,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.8,1.0,3.0,0.0,81.7989560580627,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-08-31T14:00:00Z
Daniel Muñoz,DEF,Crystal Palace,180.0,2.0,2.0,0.0,1.0,0.0,6.111111111111111,2.5,0.0,0.04,0.0,0.0,0.0,20.0,2.6,1.0,3.0,0.0,80.5474825367501,1.5,1.35,1.35,0.5,7.0,5.0,1,3,2024-09-01T12:30:00Z
Danny Ings,FWD,West Ham,5.0,2.0,0.0,0.0,0.0,0.0,6.022222222222222,0.5,0.25,0.0,0.0,0.0,0.0,2.0,1.05,0.6499999999999999,3.0,1.0,72.76448188809142,1.5,1.35,1.35,0.5,7.0,5.0,0,3,2024-08-31T16:30:00Z
Danny Welbeck,FWD,Brighton,168.0,2.0,2.0,2.0,1.0,1.0,6.470238095238095,10.5,1.31,0.06,0.0,0.0,6.0,79.0,11.75,1.0,3.0,0.0,87.73530470016418,1.5,1.35,1.35,0.5,7.0,5.6,2,3,2024-08-31T11:30:00Z
Darwin Núñez Ribeiro,FWD,Liverpool,18.0,2.0,0.0,0.0,0.0,0.0,6.022222222222222,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.35,0.6499999999999999,3.0,0.0,79.51074416229855,1.5,1.35,1.35,0.5,7.0,7.3,1,3,2024-09-01T15:00:00Z
David Brooks,MID,Bournemouth,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,41.30617613231834,1.5,1.35,1.35,0.5,7.0,4.9,0,3,2024-08-31T14:00:00Z
David Datro Fofana,FWD,Chelsea,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,59.309576935331854,1.5,1.35,1.35,0.5,7.0,5.4,0,3,2024-09-01T12:30:00Z
David Ozoh,MID,Crystal Palace,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,34.35627687810004,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-09-01T12:30:00Z
